NUMERO DE ORDEM       @ANOMES@COD.NCM @DESCRICAO DO CODIGO NCM       @PAIS@PAIS DE ORIGEM      @PAIS@PAIS DE AQUISICAO   @UND.ESTAT.@UNIDADE DE MEDIDA   @UNIDADE COMERC.     @DESCRICAO DO PRODUTO                                                                                                                                                                                                                                      @QTDE ESTATISTICA   @PESO LIQUIDO       @VMLE DOLAR        @VL FRETE DOLAR    @VL SEGURO DOLAR   @VALOR UN.PROD.DOLAR  @QTD COMERCIAL. @TOT.UN.PROD.DOLAR    @UNIDADE DESEMBARQUE           @UNIDADE DESEMBARACO           @INCOTERM@NAT.INFORMACAO @SITUACAO DO DESPACHO               ,,,,,,,,,,,,,,,,,,,,,,,,,,
0000001069460003400027@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@245@ESPANHA             @275@FRANCA              @11@UNIDADE             @UNIDADE             @9676263180 - Descricao: MAQUINA ELEVA-VIDROS ELETR PORTA D - Material Constitutivo: PINTURAS, COLAS E MASTIQUES + TERMOPLASTICOS + ACO+ ELASTOMEROS + LATAO + COBRE - Funcao do material: LEVANTAR VIDR O - Localizacao: PORTA DIREITA - PLIQ:1,1         @          640,00000@          726,40000@           7667,08@             66,41@              5,21@           11,6310126@        8,00000@           93,0481008@N/INFORMADO                   @PORTO DO RIO DE JANEIRO       @CFR@ADMINISTRATIVA @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000001069460003400028@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@245@ESPANHA             @275@FRANCA              @11@UNIDADE             @UNIDADE             @9676263180 - Descricao: MAQUINA ELEVA-VIDROS ELETR PORTA D - Material Constitutivo: PINTURAS, COLAS E MASTIQUES + TERMOPLASTICOS + ACO+ ELASTOMEROS + LATAO + COBRE - Funcao do material: LEVANTAR VIDR O - Localizacao: PORTA DIREITA - PLIQ:1,1         @          640,00000@          726,40000@           7667,08@             66,41@              5,21@           11,6310126@        8,00000@           93,0481008@N/INFORMADO                   @PORTO DO RIO DE JANEIRO       @CFR@ADMINISTRATIVA @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000001069460003400029@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@245@ESPANHA             @275@FRANCA              @11@UNIDADE             @UNIDADE             @9676263180 - Descricao: MAQUINA ELEVA-VIDROS ELETR PORTA D - Material Constitutivo: PINTURAS, COLAS E MASTIQUES + TERMOPLASTICOS + ACO+ ELASTOMEROS + LATAO + COBRE - Funcao do material: LEVANTAR VIDR O - Localizacao: PORTA DIREITA - PLIQ:1,1         @          640,00000@          726,40000@           7667,08@             66,41@              5,21@           11,6310126@        8,00000@           93,0481008@N/INFORMADO                   @PORTO DO RIO DE JANEIRO       @CFR@ADMINISTRATIVA @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000001069460003400030@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@245@ESPANHA             @275@FRANCA              @11@UNIDADE             @UNIDADE             @9676263180 - Descricao: MAQUINA ELEVA-VIDROS ELETR PORTA D - Material Constitutivo: PINTURAS, COLAS E MASTIQUES + TERMOPLASTICOS + ACO+ ELASTOMEROS + LATAO + COBRE - Funcao do material: LEVANTAR VIDR O - Localizacao: PORTA DIREITA - PLIQ:1,1         @          640,00000@          726,40000@           7667,08@             66,41@              5,21@           11,6310126@        8,00000@           93,0481008@N/INFORMADO                   @PORTO DO RIO DE JANEIRO       @CFR@ADMINISTRATIVA @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000001069460003400031@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@245@ESPANHA             @275@FRANCA              @11@UNIDADE             @UNIDADE             @9676263280 - Descricao: MAQUINA ELEVA-VIDROS ELETR PORTA E - Material Constitutivo: PINTURAS, COLAS E MASTIQUES + TERMOPLASTICOS + ACO+ ELASTOMEROS + LATAO + COBRE - Funcao do material: LEVANTAR VIDR O - Localizacao: PORTA ESQUERDA - PLIQ:1,09       @          640,00000@          726,40000@           7667,08@             66,41@              5,21@           11,6257032@        8,00000@           93,0056256@N/INFORMADO                   @PORTO DO RIO DE JANEIRO       @CFR@ADMINISTRATIVA @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000001069460003400032@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@245@ESPANHA             @275@FRANCA              @11@UNIDADE             @UNIDADE             @9676263280 - Descricao: MAQUINA ELEVA-VIDROS ELETR PORTA E - Material Constitutivo: PINTURAS, COLAS E MASTIQUES + TERMOPLASTICOS + ACO+ ELASTOMEROS + LATAO + COBRE - Funcao do material: LEVANTAR VIDR O - Localizacao: PORTA ESQUERDA - PLIQ:1,09       @          640,00000@          726,40000@           7667,08@             66,41@              5,21@           11,6257032@        8,00000@           93,0056256@N/INFORMADO                   @PORTO DO RIO DE JANEIRO       @CFR@ADMINISTRATIVA @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000001069460003400033@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@245@ESPANHA             @275@FRANCA              @11@UNIDADE             @UNIDADE             @9676263280 - Descricao: MAQUINA ELEVA-VIDROS ELETR PORTA E - Material Constitutivo: PINTURAS, COLAS E MASTIQUES + TERMOPLASTICOS + ACO+ ELASTOMEROS + LATAO + COBRE - Funcao do material: LEVANTAR VIDR O - Localizacao: PORTA ESQUERDA - PLIQ:1,09       @          640,00000@          726,40000@           7667,08@             66,41@              5,21@           11,6257032@        8,00000@           93,0056256@N/INFORMADO                   @PORTO DO RIO DE JANEIRO       @CFR@ADMINISTRATIVA @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000001069460003400034@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@245@ESPANHA             @275@FRANCA              @11@UNIDADE             @UNIDADE             @9676263280 - Descricao: MAQUINA ELEVA-VIDROS ELETR PORTA E - Material Constitutivo: PINTURAS, COLAS E MASTIQUES + TERMOPLASTICOS + ACO+ ELASTOMEROS + LATAO + COBRE - Funcao do material: LEVANTAR VIDR O - Localizacao: PORTA ESQUERDA - PLIQ:1,09       @          640,00000@          726,40000@           7667,08@             66,41@              5,21@           11,6257032@        8,00000@           93,0056256@N/INFORMADO                   @PORTO DO RIO DE JANEIRO       @CFR@ADMINISTRATIVA @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000001069460003400035@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@245@ESPANHA             @275@FRANCA              @11@UNIDADE             @UNIDADE             @9676263280 - Descricao: MAQUINA ELEVA-VIDROS ELETR PORTA E - Material Constitutivo: PINTURAS, COLAS E MASTIQUES + TERMOPLASTICOS + ACO+ ELASTOMEROS + LATAO + COBRE - Funcao do material: LEVANTAR VIDR O - Localizacao: PORTA ESQUERDA - PLIQ:1,09       @          640,00000@          726,40000@           7667,08@             66,41@              5,21@           11,6257032@        8,00000@           93,0056256@N/INFORMADO                   @PORTO DO RIO DE JANEIRO       @CFR@ADMINISTRATIVA @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000001069460003400036@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@245@ESPANHA             @275@FRANCA              @11@UNIDADE             @UNIDADE             @9676263280 - Descricao: MAQUINA ELEVA-VIDROS ELETR PORTA E - Material Constitutivo: PINTURAS, COLAS E MASTIQUES + TERMOPLASTICOS + ACO+ ELASTOMEROS + LATAO + COBRE - Funcao do material: LEVANTAR VIDR O - Localizacao: PORTA ESQUERDA - PLIQ:1,09       @          640,00000@          726,40000@           7667,08@             66,41@              5,21@           11,6257032@        8,00000@           93,0056256@N/INFORMADO                   @PORTO DO RIO DE JANEIRO       @CFR@ADMINISTRATIVA @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000001069460003400037@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@245@ESPANHA             @275@FRANCA              @11@UNIDADE             @UNIDADE             @9676263280 - Descricao: MAQUINA ELEVA-VIDROS ELETR PORTA E - Material Constitutivo: PINTURAS, COLAS E MASTIQUES + TERMOPLASTICOS + ACO+ ELASTOMEROS + LATAO + COBRE - Funcao do material: LEVANTAR VIDR O - Localizacao: PORTA ESQUERDA - PLIQ:1,09       @          640,00000@          726,40000@           7667,08@             66,41@              5,21@           11,6257032@        8,00000@           93,0056256@N/INFORMADO                   @PORTO DO RIO DE JANEIRO       @CFR@ADMINISTRATIVA @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000001069460003400038@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@245@ESPANHA             @275@FRANCA              @11@UNIDADE             @UNIDADE             @9676263280 - Descricao: MAQUINA ELEVA-VIDROS ELETR PORTA E - Material Constitutivo: PINTURAS, COLAS E MASTIQUES + TERMOPLASTICOS + ACO+ ELASTOMEROS + LATAO + COBRE - Funcao do material: LEVANTAR VIDR O - Localizacao: PORTA ESQUERDA - PLIQ:1,09       @          640,00000@          726,40000@           7667,08@             66,41@              5,21@           11,6257032@        8,00000@           93,0056256@N/INFORMADO                   @PORTO DO RIO DE JANEIRO       @CFR@ADMINISTRATIVA @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000001069460003400039@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@245@ESPANHA             @275@FRANCA              @11@UNIDADE             @UNIDADE             @9676263280 - Descricao: MAQUINA ELEVA-VIDROS ELETR PORTA E - Material Constitutivo: PINTURAS, COLAS E MASTIQUES + TERMOPLASTICOS + ACO+ ELASTOMEROS + LATAO + COBRE - Funcao do material: LEVANTAR VIDR O - Localizacao: PORTA ESQUERDA - PLIQ:1,09       @          640,00000@          726,40000@           7667,08@             66,41@              5,21@           11,6257032@        8,00000@           93,0056256@N/INFORMADO                   @PORTO DO RIO DE JANEIRO       @CFR@ADMINISTRATIVA @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000001069460003400040@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@245@ESPANHA             @275@FRANCA              @11@UNIDADE             @UNIDADE             @9676263280 - Descricao: MAQUINA ELEVA-VIDROS ELETR PORTA E - Material Constitutivo: PINTURAS, COLAS E MASTIQUES + TERMOPLASTICOS + ACO+ ELASTOMEROS + LATAO + COBRE - Funcao do material: LEVANTAR VIDR O - Localizacao: PORTA ESQUERDA - PLIQ:1,09       @          640,00000@          726,40000@           7667,08@             66,41@              5,21@           11,6257032@        8,00000@           93,0056256@N/INFORMADO                   @PORTO DO RIO DE JANEIRO       @CFR@ADMINISTRATIVA @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000001069460003400041@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@245@ESPANHA             @275@FRANCA              @11@UNIDADE             @UNIDADE             @9676263280 - Descricao: MAQUINA ELEVA-VIDROS ELETR PORTA E - Material Constitutivo: PINTURAS, COLAS E MASTIQUES + TERMOPLASTICOS + ACO+ ELASTOMEROS + LATAO + COBRE - Funcao do material: LEVANTAR VIDR O - Localizacao: PORTA ESQUERDA - PLIQ:1,09       @          640,00000@          726,40000@           7667,08@             66,41@              5,21@           11,6257032@        8,00000@           93,0056256@N/INFORMADO                   @PORTO DO RIO DE JANEIRO       @CFR@ADMINISTRATIVA @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000001069460003400042@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@245@ESPANHA             @275@FRANCA              @11@UNIDADE             @UNIDADE             @9676263280 - Descricao: MAQUINA ELEVA-VIDROS ELETR PORTA E - Material Constitutivo: PINTURAS, COLAS E MASTIQUES + TERMOPLASTICOS + ACO+ ELASTOMEROS + LATAO + COBRE - Funcao do material: LEVANTAR VIDR O - Localizacao: PORTA ESQUERDA - PLIQ:1,09       @          640,00000@          726,40000@           7667,08@             66,41@              5,21@           11,6257032@        8,00000@           93,0056256@N/INFORMADO                   @PORTO DO RIO DE JANEIRO       @CFR@ADMINISTRATIVA @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000001069460003400043@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@245@ESPANHA             @275@FRANCA              @11@UNIDADE             @UNIDADE             @9676263280 - Descricao: MAQUINA ELEVA-VIDROS ELETR PORTA E - Material Constitutivo: PINTURAS, COLAS E MASTIQUES + TERMOPLASTICOS + ACO+ ELASTOMEROS + LATAO + COBRE - Funcao do material: LEVANTAR VIDR O - Localizacao: PORTA ESQUERDA - PLIQ:1,09       @          640,00000@          726,40000@           7667,08@             66,41@              5,21@           11,6257032@        8,00000@           93,0056256@N/INFORMADO                   @PORTO DO RIO DE JANEIRO       @CFR@ADMINISTRATIVA @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000001069460003400044@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@245@ESPANHA             @275@FRANCA              @11@UNIDADE             @UNIDADE             @9676263280 - Descricao: MAQUINA ELEVA-VIDROS ELETR PORTA E - Material Constitutivo: PINTURAS, COLAS E MASTIQUES + TERMOPLASTICOS + ACO+ ELASTOMEROS + LATAO + COBRE - Funcao do material: LEVANTAR VIDR O - Localizacao: PORTA ESQUERDA - PLIQ:1,09       @          640,00000@          726,40000@           7667,08@             66,41@              5,21@           11,6257032@        8,00000@           93,0056256@N/INFORMADO                   @PORTO DO RIO DE JANEIRO       @CFR@ADMINISTRATIVA @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000001069460003400045@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@245@ESPANHA             @275@FRANCA              @11@UNIDADE             @UNIDADE             @9676263280 - Descricao: MAQUINA ELEVA-VIDROS ELETR PORTA E - Material Constitutivo: PINTURAS, COLAS E MASTIQUES + TERMOPLASTICOS + ACO+ ELASTOMEROS + LATAO + COBRE - Funcao do material: LEVANTAR VIDR O - Localizacao: PORTA ESQUERDA - PLIQ:1,09       @          640,00000@          726,40000@           7667,08@             66,41@              5,21@           11,6257032@        8,00000@           93,0056256@N/INFORMADO                   @PORTO DO RIO DE JANEIRO       @CFR@ADMINISTRATIVA @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000001069460003400046@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@245@ESPANHA             @275@FRANCA              @11@UNIDADE             @UNIDADE             @9676263280 - Descricao: MAQUINA ELEVA-VIDROS ELETR PORTA E - Material Constitutivo: PINTURAS, COLAS E MASTIQUES + TERMOPLASTICOS + ACO+ ELASTOMEROS + LATAO + COBRE - Funcao do material: LEVANTAR VIDR O - Localizacao: PORTA ESQUERDA - PLIQ:1,09       @          640,00000@          726,40000@           7667,08@             66,41@              5,21@           11,6257032@        8,00000@           93,0056256@N/INFORMADO                   @PORTO DO RIO DE JANEIRO       @CFR@ADMINISTRATIVA @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000001069460003400047@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@245@ESPANHA             @275@FRANCA              @11@UNIDADE             @UNIDADE             @9676263280 - Descricao: MAQUINA ELEVA-VIDROS ELETR PORTA E - Material Constitutivo: PINTURAS, COLAS E MASTIQUES + TERMOPLASTICOS + ACO+ ELASTOMEROS + LATAO + COBRE - Funcao do material: LEVANTAR VIDR O - Localizacao: PORTA ESQUERDA - PLIQ:1,09       @          640,00000@          726,40000@           7667,08@             66,41@              5,21@           11,6257032@        8,00000@           93,0056256@N/INFORMADO                   @PORTO DO RIO DE JANEIRO       @CFR@ADMINISTRATIVA @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000001069460003400048@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@245@ESPANHA             @275@FRANCA              @11@UNIDADE             @UNIDADE             @9676263280 - Descricao: MAQUINA ELEVA-VIDROS ELETR PORTA E - Material Constitutivo: PINTURAS, COLAS E MASTIQUES + TERMOPLASTICOS + ACO+ ELASTOMEROS + LATAO + COBRE - Funcao do material: LEVANTAR VIDR O - Localizacao: PORTA ESQUERDA - PLIQ:1,09       @          640,00000@          726,40000@           7667,08@             66,41@              5,21@           11,6257032@        8,00000@           93,0056256@N/INFORMADO                   @PORTO DO RIO DE JANEIRO       @CFR@ADMINISTRATIVA @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000001069460003400049@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@245@ESPANHA             @275@FRANCA              @11@UNIDADE             @UNIDADE             @9676263280 - Descricao: MAQUINA ELEVA-VIDROS ELETR PORTA E - Material Constitutivo: PINTURAS, COLAS E MASTIQUES + TERMOPLASTICOS + ACO+ ELASTOMEROS + LATAO + COBRE - Funcao do material: LEVANTAR VIDR O - Localizacao: PORTA ESQUERDA - PLIQ:1,09       @          640,00000@          726,40000@           7667,08@             66,41@              5,21@           11,6257032@        8,00000@           93,0056256@N/INFORMADO                   @PORTO DO RIO DE JANEIRO       @CFR@ADMINISTRATIVA @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000001069460003400050@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@245@ESPANHA             @275@FRANCA              @11@UNIDADE             @UNIDADE             @9676263280 - Descricao: MAQUINA ELEVA-VIDROS ELETR PORTA E - Material Constitutivo: PINTURAS, COLAS E MASTIQUES + TERMOPLASTICOS + ACO+ ELASTOMEROS + LATAO + COBRE - Funcao do material: LEVANTAR VIDR O - Localizacao: PORTA ESQUERDA - PLIQ:1,09       @          640,00000@          726,40000@           7667,08@             66,41@              5,21@           11,6257032@        8,00000@           93,0056256@N/INFORMADO                   @PORTO DO RIO DE JANEIRO       @CFR@ADMINISTRATIVA @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000001069460003400051@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@245@ESPANHA             @275@FRANCA              @11@UNIDADE             @UNIDADE             @9676278980 - Descricao: MAQUINA ELEVA-VIDROS ELETR PORTA E - Material Constitutivo: PINTURAS, COLAS E MASTIQUES + TERMOPLASTICOS + ACO+ ELASTOMEROS + LATAO + COBRE - Funcao do material: LEVANTAR VIDR O - Localizacao: PORTA ESQUERDA - PLIQ:1,16       @          640,00000@          726,40000@           7667,08@             66,41@              5,21@           16,0527501@        8,00000@          128,4220008@N/INFORMADO                   @PORTO DO RIO DE JANEIRO       @CFR@ADMINISTRATIVA @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000001069460003400052@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@245@ESPANHA             @275@FRANCA              @11@UNIDADE             @UNIDADE             @9676278980 - Descricao: MAQUINA ELEVA-VIDROS ELETR PORTA E - Material Constitutivo: PINTURAS, COLAS E MASTIQUES + TERMOPLASTICOS + ACO+ ELASTOMEROS + LATAO + COBRE - Funcao do material: LEVANTAR VIDR O - Localizacao: PORTA ESQUERDA - PLIQ:1,16       @          640,00000@          726,40000@           7667,08@             66,41@              5,21@           16,0527501@        8,00000@          128,4220008@N/INFORMADO                   @PORTO DO RIO DE JANEIRO       @CFR@ADMINISTRATIVA @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000001069460003400053@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@245@ESPANHA             @275@FRANCA              @11@UNIDADE             @UNIDADE             @9676278980 - Descricao: MAQUINA ELEVA-VIDROS ELETR PORTA E - Material Constitutivo: PINTURAS, COLAS E MASTIQUES + TERMOPLASTICOS + ACO+ ELASTOMEROS + LATAO + COBRE - Funcao do material: LEVANTAR VIDR O - Localizacao: PORTA ESQUERDA - PLIQ:1,16       @          640,00000@          726,40000@           7667,08@             66,41@              5,21@           16,0527501@        8,00000@          128,4220008@N/INFORMADO                   @PORTO DO RIO DE JANEIRO       @CFR@ADMINISTRATIVA @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000001069460003400054@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@245@ESPANHA             @275@FRANCA              @11@UNIDADE             @UNIDADE             @9676278980 - Descricao: MAQUINA ELEVA-VIDROS ELETR PORTA E - Material Constitutivo: PINTURAS, COLAS E MASTIQUES + TERMOPLASTICOS + ACO+ ELASTOMEROS + LATAO + COBRE - Funcao do material: LEVANTAR VIDR O - Localizacao: PORTA ESQUERDA - PLIQ:1,16       @          640,00000@          726,40000@           7667,08@             66,41@              5,21@           16,0527501@        8,00000@          128,4220008@N/INFORMADO                   @PORTO DO RIO DE JANEIRO       @CFR@ADMINISTRATIVA @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000001069460003400055@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@245@ESPANHA             @275@FRANCA              @11@UNIDADE             @UNIDADE             @9676278980 - Descricao: MAQUINA ELEVA-VIDROS ELETR PORTA E - Material Constitutivo: PINTURAS, COLAS E MASTIQUES + TERMOPLASTICOS + ACO+ ELASTOMEROS + LATAO + COBRE - Funcao do material: LEVANTAR VIDR O - Localizacao: PORTA ESQUERDA - PLIQ:1,16       @          640,00000@          726,40000@           7667,08@             66,41@              5,21@           16,0527501@        8,00000@          128,4220008@N/INFORMADO                   @PORTO DO RIO DE JANEIRO       @CFR@ADMINISTRATIVA @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000001069460003400056@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@245@ESPANHA             @275@FRANCA              @11@UNIDADE             @UNIDADE             @9676278980 - Descricao: MAQUINA ELEVA-VIDROS ELETR PORTA E - Material Constitutivo: PINTURAS, COLAS E MASTIQUES + TERMOPLASTICOS + ACO+ ELASTOMEROS + LATAO + COBRE - Funcao do material: LEVANTAR VIDR O - Localizacao: PORTA ESQUERDA - PLIQ:1,16       @          640,00000@          726,40000@           7667,08@             66,41@              5,21@           16,0527501@        8,00000@          128,4220008@N/INFORMADO                   @PORTO DO RIO DE JANEIRO       @CFR@ADMINISTRATIVA @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000001069460003400057@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@245@ESPANHA             @275@FRANCA              @11@UNIDADE             @UNIDADE             @9676278980 - Descricao: MAQUINA ELEVA-VIDROS ELETR PORTA E - Material Constitutivo: PINTURAS, COLAS E MASTIQUES + TERMOPLASTICOS + ACO+ ELASTOMEROS + LATAO + COBRE - Funcao do material: LEVANTAR VIDR O - Localizacao: PORTA ESQUERDA - PLIQ:1,16       @          640,00000@          726,40000@           7667,08@             66,41@              5,21@           16,0527501@        8,00000@          128,4220008@N/INFORMADO                   @PORTO DO RIO DE JANEIRO       @CFR@ADMINISTRATIVA @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000001069460003400058@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@245@ESPANHA             @275@FRANCA              @11@UNIDADE             @UNIDADE             @9676278980 - Descricao: MAQUINA ELEVA-VIDROS ELETR PORTA E - Material Constitutivo: PINTURAS, COLAS E MASTIQUES + TERMOPLASTICOS + ACO+ ELASTOMEROS + LATAO + COBRE - Funcao do material: LEVANTAR VIDR O - Localizacao: PORTA ESQUERDA - PLIQ:1,16       @          640,00000@          726,40000@           7667,08@             66,41@              5,21@           16,0527501@        8,00000@          128,4220008@N/INFORMADO                   @PORTO DO RIO DE JANEIRO       @CFR@ADMINISTRATIVA @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000001069460003400059@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@245@ESPANHA             @275@FRANCA              @11@UNIDADE             @UNIDADE             @9676278980 - Descricao: MAQUINA ELEVA-VIDROS ELETR PORTA E - Material Constitutivo: PINTURAS, COLAS E MASTIQUES + TERMOPLASTICOS + ACO+ ELASTOMEROS + LATAO + COBRE - Funcao do material: LEVANTAR VIDR O - Localizacao: PORTA ESQUERDA - PLIQ:1,16       @          640,00000@          726,40000@           7667,08@             66,41@              5,21@           16,0527501@        8,00000@          128,4220008@N/INFORMADO                   @PORTO DO RIO DE JANEIRO       @CFR@ADMINISTRATIVA @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000001069460003400060@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@245@ESPANHA             @275@FRANCA              @11@UNIDADE             @UNIDADE             @9676278980 - Descricao: MAQUINA ELEVA-VIDROS ELETR PORTA E - Material Constitutivo: PINTURAS, COLAS E MASTIQUES + TERMOPLASTICOS + ACO+ ELASTOMEROS + LATAO + COBRE - Funcao do material: LEVANTAR VIDR O - Localizacao: PORTA ESQUERDA - PLIQ:1,16       @          640,00000@          726,40000@           7667,08@             66,41@              5,21@           16,0527501@        8,00000@          128,4220008@N/INFORMADO                   @PORTO DO RIO DE JANEIRO       @CFR@ADMINISTRATIVA @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000001069460003400061@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@245@ESPANHA             @275@FRANCA              @11@UNIDADE             @UNIDADE             @9676262980 - Descricao: LEVE-VITRE ELECTRIQUE PORTE D - Material Constitutivo: PINTURAS, COLAS E MASTIQUES + TERMOPLASTICOS + ACO+ ELASTOMEROS + LATAO + COBRE - Funcao do material: LEVANTAR VIDRO - Lo calizacao: PORTA DIREITA - PLIQ:1,12             @          640,00000@          726,40000@           7667,08@             66,41@              5,21@           10,6337075@        8,00000@           85,0696600@N/INFORMADO                   @PORTO DO RIO DE JANEIRO       @CFR@ADMINISTRATIVA @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000001069460003400062@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@245@ESPANHA             @275@FRANCA              @11@UNIDADE             @UNIDADE             @9676262980 - Descricao: LEVE-VITRE ELECTRIQUE PORTE D - Material Constitutivo: PINTURAS, COLAS E MASTIQUES + TERMOPLASTICOS + ACO+ ELASTOMEROS + LATAO + COBRE - Funcao do material: LEVANTAR VIDRO - Lo calizacao: PORTA DIREITA - PLIQ:1,12             @          640,00000@          726,40000@           7667,08@             66,41@              5,21@           10,6337075@        8,00000@           85,0696600@N/INFORMADO                   @PORTO DO RIO DE JANEIRO       @CFR@ADMINISTRATIVA @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
0000001069460003400063@201802@85011019@OUTS.MOTS.ELÉTR.D/CORRENTE C/P@245@ESPANHA             @275@FRANCA              @11@UNIDADE             @UNIDADE             @9676262980 - Descricao: LEVE-VITRE ELECTRIQUE PORTE D - Material Constitutivo: PINTURAS, COLAS E MASTIQUES + TERMOPLASTICOS + ACO+ ELASTOMEROS + LATAO + COBRE - Funcao do material: LEVANTAR VIDRO - Lo calizacao: PORTA DIREITA - PLIQ:1,12             @          640,00000@          726,40000@           7667,08@             66,41@              5,21@           10,6337075@        8,00000@           85,0696600@N/INFORMADO                   @PORTO DO RIO DE JANEIRO       @CFR@ADMINISTRATIVA @DI DESEMBARAÇADA                                  ,,,,,,,,,,,,,,,,
